timestamp,source_ip,endpoint,http_method,status_code,requests_per_minute,avg_response_ms,bytes_sent
2026-09-26T13:20:00Z,10.10.30.15,/,GET,200,42,118,184320
2026-09-26T13:20:00Z,10.10.30.22,/products,GET,200,31,126,156800
2026-09-26T13:20:00Z,192.0.2.44,/login,GET,200,18,141,92160
2026-09-26T13:21:00Z,10.10.30.15,/,GET,200,35,121,153600
2026-09-26T13:21:00Z,10.10.30.22,/products,GET,200,27,130,139264
2026-09-26T13:21:00Z,192.0.2.44,/login,GET,200,20,146,102400
2026-09-26T13:22:00Z,10.10.30.15,/,GET,200,40,119,174080
2026-09-26T13:22:00Z,10.10.30.22,/products,GET,200,30,132,151552
2026-09-26T13:22:00Z,192.0.2.44,/login,GET,200,17,149,87040
2026-09-26T13:23:00Z,203.0.113.101,/login,POST,429,420,812,258048
2026-09-26T13:23:00Z,203.0.113.102,/login,POST,429,390,846,239616
2026-09-26T13:23:00Z,198.51.100.201,/login,POST,503,440,1175,176128
2026-09-26T13:23:00Z,198.51.100.202,/login,POST,503,410,1206,164352
2026-09-26T13:23:00Z,192.0.2.200,/login,POST,503,380,1244,151552
2026-09-26T13:24:00Z,203.0.113.101,/login,POST,429,465,905,281600
2026-09-26T13:24:00Z,203.0.113.102,/login,POST,429,448,934,270336
2026-09-26T13:24:00Z,198.51.100.201,/login,POST,503,472,1387,188416
2026-09-26T13:24:00Z,198.51.100.202,/login,POST,503,451,1421,180224
2026-09-26T13:24:00Z,192.0.2.200,/login,POST,503,424,1478,169984
2026-09-26T13:25:00Z,10.10.30.15,/,GET,200,39,123,169984
2026-09-26T13:25:00Z,10.10.30.22,/products,GET,200,28,128,143360
2026-09-26T13:25:00Z,192.0.2.44,/login,GET,200,19,145,97280
